Cell_line,name,disease,category
NCI-H23," NCI-H23 cell line, NCI-DTP",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H23," NCI-H23 cell line, ATCC",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H23," NCI-H23 cell line, KCLB",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H23," NCI-H23-Luc cell line, JCRB",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H23," NCI-H23-Luc cell line, JCRB",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H23," HCC60 cell line, ",Disease: Lung adenocarcinoma,Category: Cancer cell line
Cell_line,name,disease,category
EKVX," EKVX cell line, NCI-DTP",Disease: Lung adenocarcinoma,Category: Cancer cell line
EKVX," EKVX cell line, BCRJ",Disease: Lung adenocarcinoma,Category: Cancer cell line
EKVX," DEL cell line, DSMZ","Disease: Anaplastic large cell lymphoma, ALK-positive",Category: Cancer cell line
Cell_line,name,disease,category
NCI-H522," NCI-H522 cell line, NCI-DTP",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H522," NCI-H522 cell line, KCLB",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H522," NCI-H522 cell line, KCLB",Disease: Lung adenocarcinoma,Category: Cancer cell line
NCI-H522," NCI-H522 cell line, ATCC",Disease: Lung adenocarcinoma,Category: Cancer cell line
Cell_line,name,disease,category
KM20L2," KM20L2 cell line, NCI-DTP",Disease: Colon adenocarcinoma,Category: Cancer cell line
Cell_line,name,disease,category
A549/ATCC," A-549 cell line, BCRC",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, DSMZ",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, ATCC",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, JCRB",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, RCB",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, TKG",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, JCRB",Disease: Lung adenocarcinoma,Category: Cancer cell line
A549/ATCC," A-549 cell line, ATCC",Disease: Lung adenocarcinoma,Category: Cancer cell line
